id,verb,auxiliary,participle,translation,level,createdAt,updatedAt,deletedAt
1,Hören,haben,gehört,Escuchar,A1.1,12/06/20,,
2,Fahren,sein,gefahren,Ir / Andar / Pilotear / Viajar en,A1.1,12/06/20,,
3,Lernen,haben,gelernt,Aprender,A1.1,12/06/20,,
4,Denken,haben,gedacht,Pensar,A1.1,12/06/20,,
5,Meinen,haben,gemeint,Opinar,A1.1,12/06/20,,
6,Anfangen,haben,angefangen,Comenzar,A1.1,12/06/20,,
7,Geben,haben,gegeben,Dar,A1.1,12/06/20,,
8,Fliegen,sein,geflogen,Volar,A1.1,12/06/20,,
9,Springen,sein,gesprungen,Saltar,A1.1,12/06/20,,
10,Abbiegen,sein,abgebogen,Doblar / Virar / Desviarse,A1.2,12/06/20,,
11,Beschreiben,haben,beschrieben,Describir,A1.2,12/06/20,,
12,Weiterfahren,haben,weiterfahren,Continuar,A1.2,12/06/20,,
13,Wenden,haben,gewendet,Virar / Dar vuelta a ,A1.2,12/06/20,,
14,Zurückfahren,sein,zurückfahren,Volver / Regresar,A1.2,12/06/20,,
15,Anmachen,haben,angemacht,Encender / Sujetar,A1.2,12/06/20,,
16,Fragen,haben,gefracht,Preguntar,A1.2,12/06/20,,
17,Helfen,haben,geholfen,Ayudar,A1.2,12/06/20,,
18,Stimmen,haben,gestimmt,Concordar,A1.2,12/06/20,,
19,Vermieten,haben,vermietet,Alquilar,A1.2,12/06/20,,
20,Aussehen,haben,ausgesehen,Parecer / Aparentar,A1.2,12/06/20,,
21,Bezahlen,haben,bezahlt,Pagar,A1.2,12/06/20,,
22,Stehen,haben,gestanden,Estar de pie,A1.2,12/06/20,,
23,Danken,haben,gedankt,Agradecer,A1.2,12/06/20,,
24,Fehlen,haben,gefehlt,Equivocarse,A1.2,12/06/20,,
25,Gehören,haben,gehört,Pertenecer,A1.2,12/06/20,,
26,Rufen,haben,gerufen,Llamar,A1.2,12/06/20,,
27,Bringen,haben,gebracht,Llevar,A1.2,12/06/20,,
28,Funktionieren,haben,funktioniert,Funcionar,A1.2,12/06/20,,
29,Kümmern,haben,gekümmert,Preocuparse,A1.2,12/06/20,,
30,Reparieren,haben,repariert,Reparar,A1.2,12/06/20,,
31,Schicken,haben,geschickt,Enviar,A1.2,12/06/20,,
32,Absagen,haben,abgesagt,Cancelar / Suspender,A1.2,12/06/20,,
33,Vereinbaren,haben,vereinbart,Concertar / Ponerse de acuerdo,A1.2,12/06/20,,
34,Verschieben,haben,verschoben,Desplazar / Cambiar de sitio,A1.2,12/06/20,,
35,Passen,haben,gepasst,Pasar,A1.2,12/06/20,,
