id,noun,article,plural,translation,niveau,level,createdAt,updatedAt,deletedAt
1,Frau,Die,Frauen,Mujer / Esposa,A1.1,beginner,12/06/20,,
2,Herr,Der,Herren,Señor,A1.1,beginner,12/06/20,,
3,Name,Der,Namen,Nombre,A1.1,beginner,12/06/20,,
4,Vorname,Der,Vornamen,Nombre de pila,A1.1,beginner,12/06/20,,
5,Familienname,Der,Familiennamen,Apellido,A1.1,beginner,12/06/20,,
6,Land,Das,Länder,País,A1.1,beginner,12/06/20,,
7,Alphabet,Das,Alphabete,Alfabeto,A1.1,beginner,12/06/20,,
8,Arbeitgeber,Der,Arbeitgeber,Empleador,A1.1,beginner,12/06/20,,
9,Ausbildung,Die,Ausbildungen,Formación / Capacitación,A1.1,beginner,12/06/20,,
10,Beruf,Der,Berufe,Profesión,A1.1,beginner,12/06/20,,
11,Hochschule,Die,Hochschulen,Universidad / Escuela superior,A1.1,beginner,12/06/20,,
12,Universität,Die,Universitäten,Universidad,A1.1,beginner,12/06/20,,
13,Job,Der,Jobs,Trabajo,A1.1,beginner,12/06/20,,
14,Praktikum,Das,Praktika,Pasantía,A1.1,beginner,12/06/20,,
15,Schule,Die,Schulen,Escuela,A1.1,beginner,12/06/20,,
16,Stelle,Die,Stellen,Puesto / Cargo,A1.1,beginner,12/06/20,,
17,Architekt,Der,Architekten,Arquitecto,A1.1,beginner,12/06/20,,
18,Arzt,Der,Ärzte,Médico,A1.1,beginner,12/06/20,,
19,Friseur,Der,Friseure,Peluquero,A1.1,beginner,12/06/20,,
20,Coiffeur,Der,Coiffeure,Peluquero,A1.1,beginner,12/06/20,,
21,Coiffeuse,Die,Coiffeusen,Peluquera,A1.1,beginner,12/06/20,,
22,Ingenieur,Der,Ingenieure,Ingeniero,A1.1,beginner,12/06/20,,
23,Journalist,Der,Journalisten,Periodista,A1.1,beginner,12/06/20,,
24,Kellner,Der,Kellner,Mozo,A1.1,beginner,12/06/20,,
25,Krankenschwester,Die,Krankenschwestern,Enfermera,A1.1,beginner,12/06/20,,
26,Lehrer,Der,Lehrer,Maestro,A1.1,beginner,12/06/20,,
27,Mechatroniker,Der,Mechatroniker,Experto en mecatrónica,A1.1,beginner,12/06/20,,
28,Student,Der,Studenten,Estudiante,A1.1,beginner,12/06/20,,
29,Schauspieler,Der,Schauspieler,Actor,A1.1,beginner,12/06/20,,
30,Schüler,Der,Schüler,Alumno,A1.1,beginner,12/06/20,,
31,Sekretär,Der,Sekretäre,Secretario,A1.1,beginner,12/06/20,,
32,Verkäufer,Der,Verkäufer,Vendedor,A1.1,beginner,12/06/20,,
33,Alter,Das,Alter,Edad,A1.1,beginner,12/06/20,,
34,Familienstand,Der,Familienstand,Estado civil,A1.1,beginner,12/06/20,,
35,Jahr,Das,Jahre,Año,A1.1,beginner,12/06/20,,
36,Kind,Das,Kinder,Niño / Niña,A1.1,beginner,12/06/20,,
37,Familie,Die,Familien,Familia,A1.1,beginner,12/06/20,,
38,Vater,Der,Väter,Padres,A1.1,beginner,12/06/20,,
39,Mutter,Die,Mütter,Madre,A1.1,beginner,12/06/20,,
40,Sohn,Der,Söhne,Hijo,A1.1,beginner,12/06/20,,
